infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P class
10.64,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,23.16325,0
12.36,43.23,85,158.61,9.6,6.91,0.72,2,0.5,6.5,9.578959,0
10.36,52.54,85,155.73,9.6,6.91,0.72,2,0.3,8.5,8.573915,0
10.05,41.09,67.19,178.9,16.44,3.53,0.21,6,2,8,70.50299,2
12.01,47.5,75,196,9.6,6.91,0.72,2,1.5,7.4,13.681719,2
9.83,41.34,70.55,197.72,17.47,3.59,0.21,6,2,8,92.51203,2
11.59,29.68,70.97,198.66,4.87,2.62,0.54,6,2,8,64.01367,0
10.02,50,74.01,148.01,7.5,5.83,0.78,6,6,7.5,4.053751,2
9.04,37.15,73.52,220.57,7.7,4.6,0.6,6,3,7.5,27.004313,2
9.55,30.43,72.41,169.27,6.96,2.52,0.36,6,2,8,50.80546,1
9.68,30.43,70.97,206.17,4.76,2.24,0.47,6,2,8,84.20405,1
11.51,50,84.7,169.4,7.5,5.3,0.71,3,3,7.6,13.631075,0
10.58,47.5,75,190,9.6,6.91,0.72,2,1.5,7.4,14.792676,1
1.57,31.78,83.44,250.33,7.7,4.6,0.6,6,3,7.5,42.380424,2
9.66,36.34,78.62,235.85,7.7,4.6,0.6,6,3,7.5,25.633114,2
9.68,22.8,76.8,151.9,7,4.09,0.58,12,24,7.4,67.88277,0
9.74,20.75,70.32,210.27,4.77,2.17,0.45,6,2,8,86.10905,1
9.25,36.56,78.31,234.93,7.7,4.6,0.6,6,3,7.5,29.14548,2
9.99,29.3,74.7,214.19,6.8,3,0.44,7.5,2,7.6,90.89817,1
8.23,38.47,74.9,224.7,7.7,4.6,0.6,6,3,7.5,27.016079,2
10.53,50,82.4,164.79,7.5,5.3,0.71,3,3,7.6,11.934055,0
11.28,47.5,75,154,9.6,6.91,0.72,2,1.5,7.4,15.775907,1
8.05,45,52,118,4,3.1,0.78,5.8,3.8,7.4,25.531958,1
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,1,7.4,18.325752,0
14.75,50,75.02,150.03,7.5,5.3,0.71,3,3,7.6,21.887037,1
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,2,7.5,3.6848714,0
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,6,7.5,3.6848714,2
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,14,7.4,18.325752,0
16.81,45,80.24,160.47,4.6,3.5,0.76,4,6,7.6,7.6512837,0
11.08,45,76.47,154.52,6.7,4,0.6,8,8,7.5,32.241516,1
10.65,30.05,72.04,181.77,8.46,3.22,0.38,6,2,8,71.18738,1
9.55,49.65,71.29,187.57,13.4,3.78,0.28,6,2,8,80.656006,1
9.91,44.84,56.97,134.85,4,3.1,0.78,6,3,7.4,20.988853,0
5.91,50,85,163.05,9.6,6.91,0.72,2,1,7.6,11.438308,2
10.69,39.73,70.17,198.51,11.6,3.82,0.33,6,2,8,102.15741,1
