infP,infC,infAc,infpro,infS,MLSS,MLVSS,VSS/TSS,volumn,ana-time,pH,T,salinity,SR
10.16,71.73,48.06,23.67,143.46,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,11.29
10.87,75.03,75.03,0.0,201.27,18.29,3.81,0.21,10.0,6.0,8.0,22.0,0.09,93.17
9.23,74.28,74.28,0.0,178.45,12.93,3.64,0.28,10.0,6.0,8.0,22.0,0.09,83.63
6.09,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,25.1
10.11,76.04,76.04,0.0,193.78,8.2,3.5,0.43,1.0,5.0,7.1,22.0,0.09,101.07
10.08,75.0,50.25,24.75,153.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,14.96
11.59,70.97,70.97,0.0,198.66,4.87,2.62,0.54,10.0,6.0,8.0,22.0,0.09,64.17
11.1,85.0,50.46,34.54,158.61,9.6,6.91,0.72,20.0,1.5,7.6,30.0,0.7,9.36
10.18,75.0,50.25,24.75,167.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,22.56
12.8,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,21.0
9.87,81.09,81.09,0.0,243.26,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,23.71
11.1,74.19,74.19,0.0,178.31,5.41,2.86,0.53,10.0,6.0,8.0,22.0,0.09,47.57
12.13,75.0,50.25,24.75,173.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,17.2
10.28,69.43,69.43,0.0,188.75,5.13,2.29,0.45,10.0,6.0,8.0,22.0,0.09,57.48
10.83,70.97,70.97,0.0,198.29,4.91,2.61,0.53,10.0,6.0,8.0,22.0,0.09,66.49
6.98,89.14,89.14,0.0,178.27,6.7,4.4,0.66,20.0,6.8,7.5,30.0,0.7,26.06
10.53,82.4,55.2,27.19,164.79,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,11.7
10.86,79.35,53.16,26.19,158.7,5.5,4.6,0.84,14.0,4.6,7.6,22.0,0.7,8.81
11.79,75.2,50.38,24.82,150.4,4.6,3.5,0.76,14.0,4.0,7.6,22.0,0.7,4.05
9.9,72.9,72.9,0.0,189.23,4.79,2.27,0.47,10.0,6.0,8.0,22.0,0.09,50.15
9.96,76.8,76.8,0.0,151.9,7.3,4.33,0.59,20.0,12.0,7.4,30.0,0.7,57.78
14.57,75.0,50.25,24.75,170.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,38.68
10.61,73.16,49.02,24.14,146.32,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,19.7
5.91,85.0,42.0,43.0,163.05,9.6,6.91,0.72,0.5,1.0,7.6,30.0,0.7,6.13
11.41,75.44,50.54,24.9,150.88,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,23.32
9.57,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,25.68
10.69,70.17,70.17,0.0,198.51,11.6,3.82,0.33,10.0,6.0,8.0,22.0,0.09,102.4
10.36,85.0,52.01,32.99,155.56,9.6,6.91,0.72,0.5,0.5,8.0,30.0,0.7,3.25
9.96,75.4,75.4,0.0,200.33,8.09,2.87,0.36,10.0,6.0,8.0,22.0,0.09,84.02
10.52,85.0,0.0,85.0,166.29,9.6,6.91,0.72,0.5,0.5,7.6,30.0,0.7,0.77
10.77,84.0,64.58,19.42,151.99,9.6,6.91,0.72,0.5,3.0,7.6,20.0,0.7,15.09
11.08,76.47,51.23,25.23,154.52,6.7,4.0,0.6,20.0,8.0,7.5,30.0,0.7,32.55
10.36,85.0,52.01,32.99,155.73,9.6,6.91,0.72,0.5,0.5,8.5,30.0,0.7,2.91
12.42,66.48,44.54,21.94,132.96,8.2,5.6,0.68,14.0,10.0,7.6,22.0,0.7,40.05
10.07,67.4,67.4,0.0,135.8,7.67,4.67,0.61,20.0,12.0,7.4,30.0,0.7,27.56
10.46,67.4,67.4,0.0,135.8,7.79,5.09,0.65,20.0,12.0,7.4,30.0,0.7,46.67
9.96,84.35,84.35,0.0,168.7,6.7,4.4,0.66,20.0,8.2,7.5,30.0,0.7,46.36
10.46,74.0,49.58,24.42,157.45,6.7,4.12,0.61,30.0,8.0,7.5,30.0,0.7,25.99
14.65,164.7,110.35,54.35,161.47,7.8,6.65,0.85,20.0,5.0,7.5,30.0,0.7,6.08
9.97,78.31,78.31,0.0,156.61,6.7,4.4,0.66,20.0,6.7,7.5,30.0,0.7,21.31
9.55,72.41,72.41,0.0,169.27,6.96,2.52,0.36,10.0,6.0,8.0,22.0,0.09,50.75
19.2,76.0,50.92,25.08,152.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,28.36
8.07,70.14,70.14,0.0,210.41,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,29.91
10.61,77.42,77.42,0.0,194.76,4.92,2.39,0.49,10.0,6.0,8.0,22.0,0.09,58.07
11.64,67.4,67.4,0.0,135.8,9.06,5.97,0.66,20.0,12.0,7.4,30.0,0.7,67.56
9.74,73.16,73.16,0.0,196.63,13.96,3.8,0.27,10.0,6.0,8.0,22.0,0.09,84.14
9.51,73.91,73.91,0.0,184.82,6.58,2.34,0.36,10.0,6.0,8.0,22.0,0.09,68.06
11.15,72.04,72.04,0.0,181.98,8.87,3.12,0.35,10.0,6.0,8.0,22.0,0.09,71.3
11.04,76.67,76.67,0.0,8.33,7.52,4.57,0.61,20.0,8.0,7.4,30.0,0.7,0.0
10.93,67.4,67.4,0.0,135.8,7.82,5.09,0.65,20.0,12.0,7.4,30.0,0.7,54.22
