infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P removal
5.91,50,85,163.05,9.6,6.91,0.72,2,0.3,7.6,11.438308,67.8
12.97,47.5,75,180,9.6,6.91,0.72,2,1.5,7.4,30.351307,82.9
11.6,40,74,201.8,8.2,3.3,0.4,10,2.5,7.6,87.42183,48.2
10.78,45,69,153.33,4.75,2.87,0.6,5,6,7.5,20.422832,28.3
10.02,50,74.01,148.01,7.5,5.83,0.78,6,6,7.5,4.053751,88.1
8.89,47.5,75,176,9.6,6.91,0.72,2,1.5,7.4,41.18328,82
10.09,50,84,151.99,9.6,6.91,0.72,3,1,7.6,11.1616535,83.1
10.8,30.76,90.99,181.99,6.7,4.4,0.66,8.3,11.2,7.5,53.002876,100
10.69,39.73,70.17,198.51,11.6,3.82,0.33,6,2,8,102.15741,77.2
11.1,40.8,75.5,196.1,8.2,3.6,0.44,6,1.5,7.6,86.017975,62.2
14.03,50,75,150,4.8,4.1,0.85,4,4,7.6,7.942886,50.5
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,0.3,7.6,9.087692,0
10.43,22.8,76.8,151.9,7.06,4.3,0.61,12,24,7.4,45.4095,89
9.9,30.43,72.9,189.23,4.79,2.27,0.47,6,2,8,50.175987,75.3
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,1,7.6,9.087692,89.4
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,0.5,7.4,18.325752,0
10.79,22.8,76.8,151.9,7.06,4.15,0.59,12,24,7.4,38.611237,100
11.51,50,84.7,169.4,7.5,5.3,0.71,3,3,7.6,13.631075,54.4
10.06,40.13,86.95,260.84,7.7,4.6,0.6,6,3,7.5,30.39644,100
7.78,45,52,118,4,3.1,0.78,5.8,3.8,7.4,28.806763,67
11.1,9.1,75.48,177.57,5.98,3,0.5,6,2,8,40.10511,38.4
6.79,42.72,85,166.95,9.6,6.91,0.72,2,0.3,7.6,11.38386,100
11.6,40,60.22,162.75,10.73,3.55,0.33,3,2.5,7.6,69.770386,61
10.21,22.8,76.8,151.9,7,4,0.57,12,24,7.4,59.74603,100
13.93,47.5,75,195,9.6,6.91,0.72,2,1.5,7.4,16.342123,97.2
10.39,50,75,150,5.5,4.6,0.84,4.4,4.4,7.6,6.293228,94.5
10.46,47.5,75,155,9.6,6.91,0.72,2,1.5,7.4,11.840956,64.7
11.13,60.73,76.4,170.23,12,7.6,0.63,8,4,7.5,85.9253,0
11.6,40,65.91,178.13,11.08,3.96,0.36,3,2.5,7.6,64.36148,67.7
12.3,56.57,84.83,686.4,9.2,0.54,0.06,9,3,7.5,41.288506,100
11.54,22.8,76.8,151.9,7.06,4.3,0.61,12,24,7.4,58.2667,96.7
11.26,9.59,69.68,203.87,4.3,2.25,0.52,6,2,8,54.98224,66.8
7.42,20.96,63.55,72.61,8.2,3.3,0.4,9,2,7.1,70.80653,43.5
10.81,47.5,75,159,9.6,6.91,0.72,2,1.5,7.4,42.55822,69.5
14.16,50,75,150,7.5,5.3,0.71,3,3,7.6,19.424246,62.3
11.48,10.96,74.19,189.94,6.32,3.32,0.53,6,2,8,55.285587,50.7
9.08,35.85,77.3,231.91,7.7,4.6,0.6,6,3,7.5,32.64705,95.1
13.46,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,22.037275,37.1
8.12,35.4,75.4,150.79,6.7,4.4,0.66,8.9,13.2,7.5,49.8923,77
10.36,50.63,85,155.56,9.6,6.91,0.72,2,0.5,8,10.948464,100
11.05,28.57,72.26,190.45,4.28,1.99,0.47,6,2,8,50.1597,68.4
10.28,39.85,70.92,189.9,19.43,4.16,0.21,6,2,8,80.538536,88.9
10.85,30.5,81,176.78,7,5.3,0.76,4,4,7.5,4.8044834,3.4
10.16,0,73.9,200.59,8.2,3.5,0.43,5,2.5,7.1,101.7201,0
17.65,50,84,168,7.5,5.3,0.71,3,3,7.6,25.376663,57.8
11.97,0,65.16,177.04,6.09,3,0.49,6,2,8,54.946735,40.8
10.4,33.61,92.72,185.45,6.7,4.4,0.66,8.1,10.4,7.5,43.22566,100
8.84,35.96,79.82,239.46,7.7,4.6,0.6,6,3,7.5,34.402378,95.3
11.33,32.04,71.29,189.09,6.61,2.42,0.37,6,2,8,81.977066,74.1
12.56,45,75,153.06,7.5,6.41,0.85,5,6,7.5,5.1367717,28.3
14.8,60.47,89.05,240.08,7.8,0.65,0.08,9,3,7.5,46.070164,100
10.5,21.25,74.19,204.86,4.65,2.18,0.47,6,2,8,75.65327,73.8
8.78,39.85,74.28,174.59,16.41,3.57,0.22,6,2,8,72.22318,89.2
10.72,40,72.98,145.96,8.2,5.6,0.68,7.8,8.8,7.6,28.055265,77
9.37,29.93,72.79,180.93,5.29,2.32,0.44,6,2,8,56.12124,68
10.72,20.38,72.26,192.45,4.21,1.95,0.46,6,2,8,48.615654,77.2
11.38,45,72,144,4.6,3.5,0.76,4,6,7.6,16.593971,55.5
10.87,30.43,75.03,201.27,18.29,3.81,0.21,6,2,8,93.21493,95.2
10.65,40.72,68.31,197.38,17.17,3.79,0.22,6,2,8,101.7507,88.7
7.18,16.66,30,111.99,8.2,3.3,0.4,2.5,4,7.1,57.71307,32.1
10.85,30.5,81,176.78,7,5.3,0.76,4,1,7.5,4.8044834,0
5.67,50,85,160.11,9.6,6.91,0.72,2,0.5,7.6,11.58625,100
10.96,50,85,170,7.5,5.3,0.71,3,3,7.6,14.890629,93.4
3.16,32.22,79.91,159.83,6.7,4.4,0.66,9.9,16.6,7.5,48.91444,65.1
11.08,45,76.47,154.52,6.7,4,0.6,8,12,7.5,32.241516,89.1
10.74,50,82.9,172.71,12,7.83,0.65,12,23.2,7.5,71.88976,49
8.92,37.85,81.73,245.19,7.7,4.6,0.6,6,3,7.5,31.86562,94.9
10.39,39.98,68.39,206.41,5.62,2.86,0.51,6,2,8,76.43801,68.2
14.57,47.5,75,170,9.6,6.91,0.72,2,1.5,7.4,38.342968,63.6
9.96,31.44,83.34,166.67,6.7,4.4,0.66,8.4,11.4,7.5,48.774277,100
8.44,40.63,75.75,151.49,6.7,4.4,0.66,6,3,7.5,27.97912,100
12.04,47.5,75,156,9.6,6.91,0.72,2,1.5,7.4,11.368939,80.9
9.87,35.29,81.09,243.26,7.7,4.6,0.6,6,3,7.5,23.702156,95.2
19.2,50,76,152,7.5,5.3,0.71,3,3,7.6,28.233147,52.8
9.5,39.44,84.72,169.44,6.7,4.4,0.66,8.2,10.8,7.5,43.80198,100
9.87,51.63,70.17,197.53,12.58,3.61,0.29,6,2,8,92.618805,80.9
8.31,29.88,80.08,160.16,6.7,4.4,0.66,7.5,8.2,7.5,49.323395,100
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,6,7.5,3.6848714,91.2
11.64,47.5,75,175,9.6,6.91,0.72,2,1.5,7.4,23.610065,69.8
